N	//directed
N	//weighted
8	//number of vertices
2	//(out) degree of vertex 1
3	//arc/link to vertex 3
4	//arc/link to vertex 4
1	//(out) degree of vertex 2
4	//arc/link to vertex 4
3	//(out) degree of vertex 3
1	//arc/link to vertex 1
6	//arc/link to vertex 6
7	//arc/link to vertex 7
3	//(out) degree of vertex 4
1	//arc/link to vertex 1
2	//arc/link to vertex 2
8	//arc/link to vertex 8
2	//(out) degree of vertex 5
7	//arc/link to vertex 7
8	//arc/link to vertex 8
1	//(out) degree of vertex 6
3	//arc/link to vertex 3
2	//(out) degree of vertex 7
3	//arc/link to vertex 3
5	//arc/link to vertex 5
2	//(out) degree of vertex 8
4	//arc/link to vertex 4
5	//arc/link to vertex 5
