N	//directed
N	//weighted
9	//number of vertices
4	//(out) degree of vertex 1
3	//arc/link to vertex 3
4	//arc/link to vertex 4
2	//arc/link to vertex 2
9	//arc/link to vertex 9
4	//(out) degree of vertex 2
1	//arc/link to vertex 1
4	//arc/link to vertex 4
7	//arc/link to vertex 7
8	//arc/link to vertex 8
4	//(out) degree of vertex 3
1	//arc/link to vertex 1
6	//arc/link to vertex 6
7	//arc/link to vertex 7
9	//arc/link to vertex 9
4	//(out) degree of vertex 4
1	//arc/link to vertex 1
2	//arc/link to vertex 2
7	//arc/link to vertex 7
8	//arc/link to vertex 8
2	//(out) degree of vertex 5
7	//arc/link to vertex 7
8	//arc/link to vertex 8
2	//(out) degree of vertex 6
3	//arc/link to vertex 3
9	//arc/link to vertex 9
5	//(out) degree of vertex 7
2	//arc/link to vertex 2
3	//arc/link to vertex 3
5	//arc/link to vertex 5
9	//arc/link to vertex 9
4	//arc/link to vertex 4
4	//(out) degree of vertex 8
2	//arc/link to vertex 2
4	//arc/link to vertex 4
5	//arc/link to vertex 5
9	//arc/link to vertex 9
4	//(out) degree of vertex 9
1	//arc/link to vertex 1
3	//arc/link to vertex 3
6	//arc/link to vertex 6
7	//arc/link to vertex 7
