N	//directed
N	//weighted
5	//number of vertices
4	//(out) degree of vertex 1
2	//arc/link to vertex 2
3	//arc/link to vertex 3
4	//arc/link to vertex 4
5	//arc/link to vertex 5
3	//(out) degree of vertex 2
1	//arc/link to vertex 1
4	//arc/link to vertex 4
3	//arc/link to vertex 3
4	//(out) degree of vertex 3
1	//arc/link to vertex 1
2	//arc/link to vertex 2
4	//arc/link to vertex 4
5	//arc/link to vertex 5
4	//(out) degree of vertex 4
1	//arc/link to vertex 1
2	//arc/link to vertex 2
3	//arc/link to vertex 3
5	//arc/link to vertex 5
3	//(out) degree of vertex 5
1	//arc/link to vertex 1
4	//arc/link to vertex 4
3	//arc/link to vertex 3
