N	//directed
N	//weighted
7	//number of vertices
4	//(out) degree of vertex 1
2	//arc/link to vertex 2
3	//arc/link to vertex 3
4	//arc/link to vertex 4
5	//arc/link to vertex 5
2	//(out) degree of vertex 2
1	//arc/link to vertex 1
4	//arc/link to vertex 4
3	//(out) degree of vertex 3
1	//arc/link to vertex 1
6	//arc/link to vertex 6
7	//arc/link to vertex 7
3	//(out) degree of vertex 4
1	//arc/link to vertex 1
2	//arc/link to vertex 2
7	//arc/link to vertex 7
2	//(out) degree of vertex 5
1	//arc/link to vertex 1
7	//arc/link to vertex 7
1	//(out) degree of vertex 6
3	//arc/link to vertex 3
3	//(out) degree of vertex 7
3	//arc/link to vertex 3
4	//arc/link to vertex 4
5	//arc/link to vertex 5
