{ 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22}
{
( {  1   2   8  10  13  16 } , 1 )
( {  1   2   8  10  13  22 } , 1 )
( {  1   2   8  10  14  16  18 } , 1 )
( {  1   2   8  10  16  18  19 } , 1 )
( {  1   2   8  10  16  21 } , 1 )
( {  1   2   8  10  18  22 } , 1 )
( {  1   2   8  13  16  20 } , 1 )
( {  1   2   8  14  16  20 } , 1 )
( {  1   2   8  16  19  20 } , 1 )
( {  1   2  10  13  15 } , 1 )
( {  1   2  10  13  17 } , 1 )
( {  1   2  10  14  17  18 } , 1 )
( {  1   2  10  15  18 } , 1 )
( {  1   2  10  15  21 } , 1 )
( {  1   2  10  17  18  19 } , 1 )
( {  1   2  10  17  21 } , 1 )
( {  1   2  13  15  20 } , 1 )
( {  1   2  13  17  20 } , 1 )
( {  1   2  14  17  20 } , 1 )
( {  1   2  17  19  20 } , 1 )
( {  1   4  10  13  16 } , 1 )
( {  1   4  10  13  17 } , 1 )
( {  1   4  10  13  22 } , 1 )
( {  1   4  10  16  18  19 } , 1 )
( {  1   4  10  16  21 } , 1 )
( {  1   4  10  17  18  19 } , 1 )
( {  1   4  10  17  21 } , 1 )
( {  1   4  10  18  22 } , 1 )
( {  1   4  13  16  20 } , 1 )
( {  1   4  13  17  20 } , 1 )
( {  1   4  16  19  20 } , 1 )
( {  1   4  17  19  20 } , 1 )
( {  1   7   8  10  16  18  19 } , 1 )
( {  1   7   8  10  16  21 } , 1 )
( {  1   7   8  10  18  22 } , 1 )
( {  1   7   8  16  19  20 } , 1 )
( {  1   7  10  15  18 } , 1 )
( {  1   7  10  15  21 } , 1 )
( {  1   7  10  17  18  19 } , 1 )
( {  1   7  10  17  21 } , 1 )
( {  1   7  15  20 } , 1 )
( {  1   7  17  19  20 } , 1 )
( {  2   5   9  13  16 } , 1 )
( {  2   5   9  13  22 } , 1 )
( {  2   5   9  16  18  19 } , 1 )
( {  2   5   9  16  21 } , 1 )
( {  2   5   9  18  22 } , 1 )
( {  2   5  10  13  16 } , 1 )
( {  2   5  10  13  22 } , 1 )
( {  2   5  10  16  18  19 } , 1 )
( {  2   5  10  16  21 } , 1 )
( {  2   5  10  18  22 } , 1 )
( {  2   5  13  16  20 } , 1 )
( {  2   5  16  19  20 } , 1 )
( {  2   8   9  13  16 } , 1 )
( {  2   8   9  13  22 } , 1 )
( {  2   8   9  14  16  18 } , 1 )
( {  2   8   9  16  18  19 } , 1 )
( {  2   8   9  16  21 } , 1 )
( {  2   8   9  18  22 } , 1 )
( {  2   9  13  15 } , 1 )
( {  2   9  13  17 } , 1 )
( {  2   9  14  17  18 } , 1 )
( {  2   9  15  18 } , 1 )
( {  2   9  15  21 } , 1 )
( {  2   9  17  18  19 } , 1 )
( {  2   9  17  21 } , 1 )
( {  3   6   8  10  12  16  19 } , 1 )
( {  3   6   8  10  12  22 } , 1 )
( {  3   6   8  10  13  16 } , 1 )
( {  3   6   8  10  13  22 } , 1 )
( {  3   6   8  10  14  16  18 } , 1 )
( {  3   6   8  10  16  18  19 } , 1 )
( {  3   6   8  10  16  21 } , 1 )
( {  3   6   8  10  18  22 } , 1 )
( {  3   6   8  13  16  20 } , 1 )
( {  3   6   8  14  16  20 } , 1 )
( {  3   6   8  16  19  20 } , 1 )
( {  3   6  10  12  15 } , 1 )
( {  3   6  10  12  17  19 } , 1 )
( {  3   6  10  13  15 } , 1 )
( {  3   6  10  13  17 } , 1 )
( {  3   6  10  14  17  18 } , 1 )
( {  3   6  10  15  18 } , 1 )
( {  3   6  10  15  21 } , 1 )
( {  3   6  10  17  18  19 } , 1 )
( {  3   6  10  17  21 } , 1 )
( {  3   6  13  15  20 } , 1 )
( {  3   6  13  17  20 } , 1 )
( {  3   6  14  17  20 } , 1 )
( {  3   6  17  19  20 } , 1 )
( {  3   8   9  12  16  19 } , 1 )
( {  3   8   9  12  22 } , 1 )
( {  3   8   9  13  16 } , 1 )
( {  3   8   9  13  22 } , 1 )
( {  3   8   9  14  16  18 } , 1 )
( {  3   8   9  16  18  19 } , 1 )
( {  3   8   9  16  21 } , 1 )
( {  3   8   9  18  22 } , 1 )
( {  3   8  11  13  16 } , 1 )
( {  3   8  11  13  22 } , 1 )
( {  3   8  11  14  16 } , 1 )
( {  3   8  11  16  19 } , 1 )
( {  3   8  11  16  21 } , 1 )
( {  3   9  12  15 } , 1 )
( {  3   9  12  17  19 } , 1 )
( {  3   9  13  15 } , 1 )
( {  3   9  13  17 } , 1 )
( {  3   9  14  17  18 } , 1 )
( {  3   9  15  18 } , 1 )
( {  3   9  15  21 } , 1 )
( {  3   9  17  18  19 } , 1 )
( {  3   9  17  21 } , 1 )
( {  3  11  13  15 } , 1 )
( {  3  11  13  17 } , 1 )
( {  3  11  14  17 } , 1 )
( {  3  11  15  21 } , 1 )
( {  3  11  17  19 } , 1 )
( {  3  11  17  21 } , 1 )
( {  4   5   6  10  12  16  19 } , 1 )
