{ 1 2 3 4 5 6 7 8 9 10 11 12 13 }
{
({  1   3   8  12 },1)
({  1   3  12  13 },1)
({  1   4   8   9 },1)
({  1   4   8  12 },1)
({  1   4  12  13 },1)
({  1   5   7   8 },1)
({  1   5   8   9 },1)
({  1   5   8  12 },1)
({  1   5  12  13 },1)
({  2   4   8   9 },1)
({  2   4   8  12 },1)
({  2   4  11  12  13 },1)
({  2   5   7   8 },1)
({  2   5   8   9 },1)
({  2   5   8  12 },1)
({  2   5  12  13 },1)
({  2   7  11 },1)
({  3   6  10 },1)
({  3   6  12 },1)
({  3   8  10 },1)
({  3  10  11 },1)
({  3  11  12  13 },1)
({  5   6  12 },1)
({  7   8  10 },1)
({  7  10  11 },1)
({  8   9  10 },1)
}
