{ 
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 }
{
({  1  2  8 },1)
({  1  2  3  9 },1)
({  2  3  4 10 },1)
({  3  4  5 11 },1)
({  4  5  6 12 },1)
({  5  6  7 13 },1)
({  6  7 14 },1)
({  1  8  9 15 },1)
({  2  8  9 10 16 },1)
({  3  9 10 11 17 },1)
({  4 10 11 12 18 },1)
({  5 11 12 13 19 },1)
({  6 12 13 14 20 },1)
({  7 13 14 21 },1)
({  8 15 16 22 },1)
({  9 15 16 17 23 },1)
({ 10 16 17 18 24 },1)
({ 11 17 18 19 25 },1)
({ 12 18 19 20 26 },1)
({ 13 19 20 21 27 },1)
({ 14 20 21 28 },1)
({ 15 22 23 },1)
({ 16 22 23 24 },1)
({ 17 23 24 25 },1)
({ 18 24 25 26 },1)
({ 19 25 26 27 },1)
({ 20 26 27 28 },1)
({ 21 27 28 },1)
}
